Y_test,Y_pred_0,Y_pred_1,Tweet
0.0,0.9999449303909664,5.5069609033550274e-05,I have a headache 
0.0,0.9999449303909664,5.5069609033550274e-05,i have a headache 
0.0,0.9999449303909664,5.5069609033550274e-05,headache 
0.0,0.9999449303909664,5.5069609033550274e-05,I have a headache 
0.0,0.9999449303909664,5.5069609033550274e-05,have a headache 
0.0,0.9999449303909664,5.5069609033550274e-05,has a headache 
0.0,0.9999163139383122,8.368606168780898e-05,my throat hurts 
0.0,0.9999163139383122,8.368606168780898e-05,My throat hurts ...  
0.0,0.9998943178544055,0.00010568214559444787,Has a sore throat! 
0.0,0.9998393004063182,0.00016069959368178918,this cough hurts my throat 
0.0,0.9998352184473691,0.00016478155263090083,Toothache 
0.0,0.9998352184473691,0.00016478155263090083,toothache 
0.0,0.9998215319760586,0.0001784680239413791,My stomach hurts 
0.0,0.9998125244449961,0.0001874755550039122,@MPeters20 So upset 
0.0,0.9998125244449961,0.0001874755550039122,is upset 
0.0,0.9997469569020645,0.0002530430979355047,this cold sucks!!  my throat hurts
0.0,0.9997411044748024,0.0002588955251975889,i have a headache.  how sad.
0.0,0.9997359319260852,0.00026406807391476917,Ugh! My stomach hurts. 
0.0,0.9997091687323779,0.00029083126762206255,Having bad headache now!!!! 
0.0,0.9997091277980874,0.0002908722019126327,@jraimond  That sucks 
0.0,0.9997091277980874,0.0002908722019126327,@epicwelshman sucks 
0.0,0.9997091277980874,0.0002908722019126327,@DaveDeLuxe1 that sucks!  
0.0,0.9997091277980874,0.0002908722019126327,@TaraRose  That sucks viciously.
0.0,0.9997091277980874,0.0002908722019126327,@thrssmthnbtmry that sucks. 
0.0,0.99969199131344,0.00030800868656000077,Have a TERRIBLE headache.  Sad sad.
0.0,0.9996522529746303,0.0003477470253696587,is in pain 
0.0,0.9996247361314612,0.000375263868538855,arghhh! 
0.0,0.9996203199744846,0.00037968002551531374,isPlayer Has Died! Sorry 
0.0,0.9996203199744846,0.00037968002551531374,isPlayer Has Died! Sorry 
0.0,0.9996203199744846,0.00037968002551531374,isPlayer Has Died! Sorry 
